上课学期,课程编号,课程名称,课程学分,学位课,成绩,获得学分,备注
"
			2016秋
		","
			G00FL1020
		","
			综合英语
		","
			2.0
		","
			是
		","
			
				
					免修
				   
			   
		","
			
				
                    
                        
                            2.0
                        
                        
                    
				   
			 
		","
			
				
				免修??
				   
			 
		"
"
			2016秋
		","
			G00FL1023
		","
			英语听说
		","
			1.0
		","
			是
		","
			
				
					64.00
				   
			   
		","
			
				
                    
                        
                            1.0
                        
                        
                    
				   
			 
		","
			
				
				正常??
				   
			 
		"
"
			2016秋
		","
			G00GS1001
		","
			企业实习报告
		","
			2.0
		","
			否
		","
","
","
"
"
			2016秋
		","
			G00GS1002
		","
			开题报告
		","
			2.0
		","
			否
		","
","
","
"
"
			2016秋
		","
			G00GS1003
		","
			中期检查
		","
			2.0
		","
			否
		","
","
","
"
"
			2016秋
		","
			G00HA0040
		","
			体育
		","
			0.5
		","
			否
		","
			
				
					93.00
				   
			   
		","
			
				
                    
                        
                            0.5
                        
                        
                    
				   
			 
		","
			
				
				正常??
				   
			 
		"
"
			2016秋
		","
			G00HA1010
		","
			中国特色社会主义理论与实践
		","
			2.0
		","
			是
		","
			
				
					88.00
				   
			   
		","
			
				
                    
                        
                            2.0
                        
                        
                    
				   
			 
		","
			
				
				正常??
				   
			 
		"
"
			2016秋
		","
			G00HA1012
		","
			科学道德与学风
		","
			0.0
		","
			是
		","
","
","
"
"
			2016秋
		","
			G00HA1016
		","
			知识产权与专利申请
		","
			1.0
		","
			否
		","
			
				
					78.00
				   
			   
		","
			
				
                    
                        
                            1.0
                        
                        
                    
				   
			 
		","
			
				
				正常??
				   
			 
		"
"
			2016秋
		","
			Z00MS1031
		","
			工程优化方法及应用
		","
			3.0
		","
			是
		","
			
				
					66.00
				   
			   
		","
			
				
                    
                        
                            3.0
                        
                        
                    
				   
			 
		","
			
				
				正常??
				   
			 
		"
"
			2016秋
		","
			Z08EE1011
		","
			算法设计技术与方法
		","
			3.0
		","
			是
		","
			
				
					90.00
				   
			   
		","
			
				
                    
                        
                            3.0
                        
                        
                    
				   
			 
		","
			
				
				正常??
				   
			 
		"
"
			2016秋
		","
			Z08TE1107
		","
			宽带无线通信
		","
			3.0
		","
			是
		","
			
				
					79.00
				   
			   
		","
			
				
                    
                        
                            3.0
                        
                        
                    
				   
			 
		","
			
				
				正常??
				   
			 
		"
"
			2016秋
		","
			Z08TE1212
		","
			MIMO系统与OFDM传输技术
		","
			2.0
		","
			否
		","
			
				
					83.00
				   
			   
		","
			
				
                    
                        
                            2.0
                        
                        
                    
				   
			 
		","
			
				
				正常??
				   
			 
		"
"
			2016秋
		","
			Z08TE1216
		","
			图像工程
		","
			3.0
		","
			否
		","
			
				
					87.00
				   
			   
		","
			
				
                    
                        
                            3.0
                        
                        
                    
				   
			 
		","
			
				
				正常??
				   
			 
		"
"
			2016秋
		","
			Z08TE1222
		","
			扩频通信系统
		","
			2.0
		","
			否
		","
			
				
					75.00
				   
			   
		","
			
				
                    
                        
                            2.0
                        
                        
                    
				   
			 
		","
			
				
				正常??
				   
			 
		"
"
			2017春
		","
			G00FL1026
		","
			英美文化
		","
			1.0
		","
			是
		","
","
","
"
"
			2017春
		","
			G00HA0041
		","
			体育
		","
			0.5
		","
			否
		","
","
","
"
"
			2017春
		","
			G00HA1011
		","
			自然辩证法概论
		","
			1.0
		","
			是
		","
","
","
"
"
			2017春
		","
			Z08EE1238
		","
			科学精神与方法专题讲座
		","
			2.0
		","
			否
		","
","
","
"
"
			2017春
		","
			Z08TE1140
		","
			信号检测与估值理论
		","
			3.0
		","
			是
		","
","
","
"
