term,c_no,c_name,credits,is_degree,score,gain_credits,remark
2016秋,G00FL1020,综合英语,2.0,是,72,2.0,正常
2016秋,G00HA0040,体育,0.5,否,93,0.5,正常
2016秋,G00HA1010,中国特色社会主义理论与实践,2.0,是,85,2.0,正常
2016秋,G00HA1012,科学道德与学风,0.0,是,98,0,正常
2016秋,G00HA1013,科学精神与人文精神专题,1.0,否,85.7,1.0,正常
2016秋,X19CS1007,组合数学,3.0,是,,,
2016秋,X19CS1010,工程优化方法,3.0,是,76,3.0,正常
2016秋,X19CS1111,人工智能,3.0,是,93.2,3.0,正常
2016秋,X19CS1204,Web程序设计,2.0,否,87,2.0,正常
2016秋,X19CS1900,计算机网络工程与实验,3.0,否,82,3.0,正常
2017春,G00FL1021,专业英语,1.0,是,,,
2017春,G00FL1022,基础写作,1.0,是,,,
2017春,G00HA0041,体育,0.5,否,,,
2017春,G00HA1011,自然辩证法概论,1.0,是,,,
2017春,X19CS1107,模糊系统理论与应用,3.0,否,,,
2017春,X19CS1112,模式识别,3.0,是,,,
2017春,X19CS1209,云计算及虚拟化技术,2.0,否,,,
